,UserId,ProductId,Rating,split_index
65,A2H6SFTV2892Z8,1304511138,5.0,0
1036,AAXLAV096NKIL,9790770154,1.0,0
1768,ACCN76JNB28WT,9790790961,5.0,0
307,A30HUW0YSPL6N,6165290582,4.0,0
448,A1AUDV6O35S9DS,9573215926,3.0,0
111,A3SN6TKIXQI7RP,1403790965,5.0,0
1737,A1041053SID37WN8GTT8,9790790961,5.0,0
477,A10205RFE66H1R,974383785X,3.0,0
1705,A2SR9M2CWC2OCP,9790790961,4.0,0
635,A39J2GNAMPZF2W,9788071198,3.0,0
1725,AE45ZH06YKLI5,9790790961,1.0,0
478,A36NPWR62GGB90,9744287233,3.0,0
1189,A5H0JGPPLKTRJ,9790776489,5.0,0
1583,A32K7TR3K1I9YH,9790786964,5.0,0
1821,A1UO6CE0K38J1R,9790792271,5.0,0
1476,A2NQG0GW1HN28T,9790782950,5.0,0
1685,A8KH2GTNAGHHC,979079035X,5.0,0
736,AH7S8WUFHIBIC,9788072100,3.0,0
1183,A6VIJAS6NNKDS,9790776381,5.0,0
810,A13UY6KF3KLR48,9788072348,1.0,0
946,A3UDBOJWNL60SI,9788074286,5.0,0
407,AXG1D956QCMHI,8096399322,5.0,0
1149,A3AW04VA6I847R,9790775024,5.0,0
1876,A2LNJO11PDYEPL,9790794231,5.0,0
1170,A18MCI81UN5SA0,9790776144,3.0,0
213,A22ET3HEUN5JNP,5357955867,2.0,0
179,A1MID7V80H36FX,4057553908,2.0,0
1628,A3Q3AJFOYWWKSM,9790789203,5.0,0
1753,A15ACHDXWFAFTX,9790790961,5.0,0
596,A1TLDR1V4O48PK,9759091062,2.0,0
1937,A2Y6VNNRDPGZT9,979079567X,1.0,0
1210,A3HCAKEKSVETGW,9790777396,5.0,0
35,A2D7CPCZH5VFVZ,1304351475,1.0,0
293,AJ8114KFKVCHX,6053640972,1.0,0
829,A1DGD9AGZNF6O9,978807250X,5.0,0
1426,A1RR12WQMUY17Y,9790781911,4.0,0
761,AQVFWCBC5AXZS,9788072208,2.0,0
1169,A31Q1BMH0AE52Q,9790776098,5.0,0
981,A1QSOTG7XORCGN,978807572X,5.0,0
805,A2KI79THZD6NL1,9788072305,5.0,0
1485,A2A89JZXX5A411,9790783531,5.0,0
1069,A1Z6G0LOBCJQB4,9790771479,5.0,0
1478,A39LXQRVYX1PUI,9790782977,5.0,0
1539,A374U8M2Q5AH03,9790786875,4.0,0
176,AZLE2XFH3JUNG,4057368825,5.0,0
1816,A14VN4BWV9TX82,9790792220,5.0,0
1611,A3M95OVW5AV9HP,9790788207,2.0,0
1906,A37APQOUBHLLXK,9790794509,5.0,0
181,A1CNSLLYW5A8YB,5297000963,5.0,0
816,A3I1T0KEU8YDBY,978807247X,5.0,0
675,A2J7HM7CIZ3CTD,9788071260,3.0,0
1930,A3N5L80QA6SDZ2,9790795416,5.0,0
1589,A2CPTDFIDAA536,9790787286,5.0,0
535,A1HB4DFQC6ZGHW,9747842297,1.0,0
41,A2UEOW698J0SSR,1304351475,5.0,0
710,A19VPNGSJK19PE,9788071813,5.0,0
1786,ACPMKRQ2J368E,9790791100,5.0,0
1815,A1MPLMZ0LO4BPK,9790792220,3.0,0
90,A1RGXKJ4RFIOCX,1304624544,1.0,0
1436,ARPZRPIZ8GCM9,9790782055,1.0,0
1790,A2MR9Q29TQA1CU,9790791240,5.0,0
308,A9E7CTWB6KFTK,6165290582,1.0,0
1582,AEW5YLADIT98X,9790786964,5.0,0
1534,A12BXW0ZBGJQCE,9790786522,5.0,0
330,A2P0254ZZ42ZOJ,7535842801,5.0,0
783,A11SDECT20DPAB,9788072216,5.0,0
1427,A3VV07X7U50NRN,9790781911,1.0,0
289,A38L32Q21P5T95,604113449X,5.0,0
1838,APKXM6D9NZ36T,9790792646,5.0,0
