,userId,movieId,rating,split_index
966,4,5219,2.0,0
5537,39,2427,5.0,0
1945,12,1347,3.5,0
5979,43,1293,3.5,0
9124,72,276,4.0,0
5658,41,353,5.0,0
9145,72,361,3.0,0
7072,57,4678,3.5,0
4202,23,2791,4.0,0
4986,32,457,4.0,0
7521,59,1732,2.5,0
3814,21,88140,3.5,0
3768,21,6934,4.0,0
8284,62,55116,4.0,0
341,3,3745,3.5,0
3071,18,736,4.0,0
4945,31,56949,2.0,0
4422,27,2080,5.0,0
2187,12,3388,3.0,0
3503,19,68959,3.0,0
5315,38,2329,4.0,0
7562,59,2716,3.5,0
2401,12,44761,3.5,0
583,3,42738,4.0,0
5977,43,1285,3.0,0
7626,59,4226,4.0,0
2418,12,54272,4.0,0
2882,14,63082,4.5,0
7672,59,5500,2.5,0
9806,72,3551,4.0,0
1779,12,329,3.0,0
6458,46,3074,4.5,0
656,3,60069,4.0,0
4073,23,1701,4.0,0
7188,57,34528,2.5,0
8306,62,62434,3.5,0
3387,19,8253,4.0,0
4492,28,3033,5.0,0
7752,60,1257,4.0,0
2422,12,55814,4.0,0
5313,38,2278,2.0,0
7333,58,1358,3.5,0
4663,31,1258,2.0,0
3929,23,475,5.0,0
1131,4,166528,4.0,0
7003,57,2085,3.0,0
8180,62,6378,3.5,0
7886,61,1033,3.0,0
3185,18,6754,4.0,0
5718,41,1488,4.0,0
239,2,8958,2.5,0
8792,69,5952,5.0,0
8026,61,2581,4.0,0
6776,52,8873,3.5,0
8268,62,49910,4.0,0
3054,18,480,4.0,0
3343,19,5630,3.0,0
2859,13,88163,3.5,0
6262,43,47644,3.5,0
8765,69,3481,4.0,0
6408,46,1200,4.0,0
8051,61,2987,3.0,0
3795,21,63113,2.5,0
5521,38,102445,3.0,0
9148,72,368,4.0,0
3107,18,1370,4.0,0
6158,43,5995,3.5,0
4380,26,52604,5.0,0
3268,19,2006,3.0,0
6186,43,7153,4.5,0
5108,36,60,4.0,0
4970,32,173,3.0,0
591,3,45517,4.0,0
8533,67,367,3.0,0
5088,35,97304,4.0,0
1698,11,2694,2.5,0
1117,4,122918,3.0,0
7756,60,1674,4.0,0
4132,23,2231,4.0,0
6728,50,44694,5.0,0
1481,9,355,5.0,0
6717,50,5669,4.0,0
6096,43,3471,4.0,0
2808,13,69951,2.0,0
2378,12,33639,3.5,0
1252,5,1409,4.0,0
6890,55,96829,4.5,0
893,3,151763,4.0,0
3039,18,296,3.0,0
4146,23,2321,4.0,0
8565,67,1032,3.0,0
7444,59,953,3.5,0
6778,52,46578,2.0,0
5022,34,374,4.0,0
4318,25,357,3.0,0
3141,18,2640,2.5,0
6990,57,1732,4.5,0
1047,4,81834,1.0,0
9843,72,3868,2.0,0
5479,38,56757,2.0,0
4265,25,36,5.0,0
5676,41,736,4.0,0
5455,38,45447,3.5,0
3367,19,6618,4.0,0
8506,66,4979,5.0,0
2382,12,33903,4.0,0
4738,31,2710,1.5,0
2611,13,4878,4.5,0
6443,46,2407,4.0,0
7432,59,832,3.5,0
4386,27,110,3.0,0
3741,21,318,5.0,0
6330,44,122904,5.0,0
6571,47,345,3.0,0
5763,41,2344,3.0,0
2095,12,2469,3.0,0
2975,16,3000,5.0,0
3281,19,2411,3.5,0
623,3,53129,4.0,0
7426,59,653,4.0,0
648,3,58559,5.0,0
5693,41,1200,5.0,0
1062,4,91485,2.5,0
8324,63,8533,2.0,0
6170,43,6618,3.5,0
3289,19,2810,4.5,0
7253,57,59519,4.5,0
8152,62,3948,3.0,0
3033,18,186,3.0,0
3322,19,4638,2.0,0
8469,66,1573,2.5,0
7631,59,4361,3.5,0
63,1,8873,3.0,0
4254,24,3717,5.0,0
7064,57,4369,1.0,0
1177,5,248,2.0,0
281,3,1089,4.0,0
9773,72,3386,4.0,0
7520,59,1730,3.0,0
380,3,4262,4.5,0
4416,27,1387,1.0,0
32,1,5684,2.0,0
5577,40,1208,4.0,0
9258,72,937,4.0,0
2971,16,2028,4.0,0
6508,46,7001,3.0,0
6672,50,593,4.5,0
318,3,2628,4.0,0
72,2,110,5.0,0
9611,72,2431,3.0,0
4549,30,4027,5.0,0
8833,70,10,3.5,0
5654,41,260,4.0,0
8896,70,1240,3.5,0
1260,6,902,4.0,0
6921,57,1,4.0,0
4672,31,1339,1.0,0
3445,19,40414,3.5,0
8186,62,6890,4.0,0
9309,72,1200,4.0,0
4964,32,32,3.0,0
843,3,112556,5.0,0
6245,43,44199,3.5,0
1738,12,88,2.5,0
9832,72,3785,1.0,0
444,3,5785,2.0,0
2736,13,51662,4.0,0
3162,18,3499,3.0,0
4514,29,2950,2.5,0
3305,19,3945,3.0,0
2371,12,30810,3.0,0
8278,62,53318,4.0,0
6068,43,2918,4.0,0
6484,46,3836,4.0,0
7118,57,6440,4.5,0
8735,69,1580,0.5,0
6845,55,665,4.5,0
9761,72,3285,1.0,0
3854,22,329,5.0,0
7594,59,3461,2.5,0
2610,13,4816,3.5,0
6107,43,3827,3.5,0
9530,72,2120,3.0,0
3734,20,6663,4.5,0
4730,31,2539,2.0,0
1183,5,292,5.0,0
3577,19,103525,3.0,0
4192,23,2692,4.0,0
4043,23,1371,4.0,0
8207,62,27869,4.5,0
5041,34,2739,4.0,0
5309,38,1876,3.5,0
8763,69,3147,4.0,0
5528,39,908,4.0,0
9745,72,3251,5.0,0
1211,5,592,3.0,0
760,3,88405,3.0,0
5136,36,339,3.0,0
6189,43,7386,3.5,0
6301,44,79139,4.5,0
2204,12,3507,4.5,0
9157,72,410,3.0,0
3932,23,497,4.0,0
5806,41,2719,4.0,0
6903,56,1580,5.0,0
8061,61,3160,3.0,0
2359,12,8874,4.5,0
7728,59,8291,3.5,0
6187,43,7254,3.0,0
1670,10,2826,2.0,0
7453,59,1086,4.0,0
2566,13,2959,5.0,0
6108,43,3897,5.0,0
2459,13,112,4.0,0
694,3,69640,4.0,0
1641,10,150,4.0,0
808,3,103384,3.5,0
4229,23,3108,5.0,0
8909,70,1517,3.5,0
9690,72,2874,3.0,0
6538,47,7,3.0,0
9015,70,48394,4.5,0
888,3,142509,3.5,0
4093,23,1904,4.0,0
877,3,135133,3.5,0
5607,40,4262,4.5,0
7437,59,908,3.5,0
6488,46,4427,3.5,0
8642,67,4003,3.0,0
5456,38,45517,3.0,0
4574,31,110,1.5,0
3953,23,605,3.0,0
8850,70,349,2.5,0
4806,31,4246,4.0,0
501,3,7153,4.0,0
6657,50,1,4.0,0
8505,66,4963,5.0,0
8693,69,208,3.0,0
1049,4,83134,4.5,0
7141,57,8528,4.0,0
3242,19,1210,4.0,0
4554,30,5459,3.5,0
933,4,1527,3.5,0
4987,32,480,5.0,0
2065,12,2302,4.0,0
6715,50,5349,3.5,0
9284,72,1073,4.0,0
5566,40,785,4.0,0
7364,58,5902,4.0,0
586,3,44191,4.0,0
3627,19,126090,4.5,0
8429,65,137857,3.0,0
1016,4,54881,3.5,0
7392,59,230,4.0,0
5099,35,166486,2.5,0
3803,21,68954,4.5,0
7853,61,708,3.0,0
3301,19,3624,3.0,0
4440,27,3494,3.0,0
3556,19,94978,5.0,0
3384,19,7439,1.5,0
5442,38,35836,2.5,0
775,3,93805,3.5,0
8692,69,165,4.0,0
3739,21,260,4.0,0
7035,57,3156,3.5,0
1650,10,588,3.0,0
8117,62,527,4.5,0
5786,41,2505,5.0,0
425,3,5349,4.0,0
5611,40,6016,5.0,0
9841,72,3861,4.0,0
2193,12,3418,4.0,0
8143,62,2706,3.5,0
5079,35,56174,3.0,0
3904,23,296,5.0,0
7092,57,5391,4.5,0
7574,59,3052,4.0,0
2034,12,2054,2.5,0
5490,38,63859,3.0,0
9203,72,589,2.0,0
1248,5,1344,3.0,0
8786,69,5349,4.5,0
1806,12,478,1.5,0
4615,31,589,3.0,0
6125,43,4370,2.5,0
8431,65,139644,5.0,0
7290,58,913,5.0,0
7931,61,1457,4.0,0
6095,43,3448,3.5,0
2629,13,5481,3.0,0
7782,60,2770,4.0,0
1901,12,1175,4.5,0
5478,38,56367,3.5,0
388,3,4368,2.0,0
5555,40,293,5.0,0
7476,59,1214,4.5,0
5206,36,1396,4.0,0
2391,12,40815,4.0,0
600,3,47200,4.0,0
5688,41,1127,4.0,0
3135,18,2353,3.5,0
4601,31,380,2.5,0
639,3,56174,3.5,0
8438,66,1,3.0,0
4528,29,87485,3.5,0
5091,35,106920,4.0,0
735,3,81845,4.0,0
7799,61,28,3.0,0
3161,18,3471,3.5,0
7124,57,6863,4.0,0
8998,70,8665,3.5,0
9250,72,916,4.0,0
4826,31,5114,3.5,0
3572,19,100946,3.5,0
5296,38,1234,3.5,0
5012,33,2959,4.0,0
1447,8,1625,2.0,0
659,3,60126,3.0,0
8911,70,1552,2.0,0
6468,46,3359,4.5,0
2881,14,60069,5.0,0
6619,48,153,4.0,0
9973,75,440,3.0,0
2824,13,74458,3.0,0
4171,23,2427,5.0,0
8316,63,4886,4.0,0
6935,57,223,4.5,0
706,3,72209,3.0,0
9648,72,2640,3.0,0
3519,19,79702,3.0,0
7545,59,2312,3.5,0
1786,12,364,3.0,0
9917,74,10,3.0,0
4064,23,1635,4.0,0
3903,23,281,4.0,0
3422,19,27731,3.5,0
5314,38,2324,4.0,0
322,3,2959,5.0,0
2081,12,2396,4.0,0
2285,12,5008,4.0,0
3708,20,3471,4.5,0
2332,12,6750,3.0,0
365,3,4011,4.0,0
3321,19,4446,2.5,0
9941,75,6,3.0,0
7612,59,3811,4.5,0
506,3,7346,3.0,0
8151,62,3753,4.0,0
9058,71,80463,4.0,0
7996,61,2153,2.0,0
8015,61,2490,3.0,0
2070,12,2336,3.5,0
6478,46,3578,3.5,0
3200,18,8623,4.0,0
7211,57,46976,4.0,0
4483,28,2407,5.0,0
8016,61,2502,3.0,0
3761,21,5618,5.0,0
5574,40,1189,4.5,0
9790,72,3489,3.0,0
3667,20,367,4.0,0
9087,72,81,3.0,0
3605,19,112552,5.0,0
8093,61,3831,4.0,0
5987,43,1391,2.5,0
8193,62,7445,4.5,0
5278,38,293,3.0,0
1780,12,337,4.0,0
8471,66,1653,3.5,0
6981,57,1573,4.0,0
4273,25,150,4.0,0
5274,38,50,4.5,0
1185,5,300,3.0,0
944,4,2918,3.5,0
5917,43,593,3.5,0
5277,38,260,4.5,0
9646,72,2618,5.0,0
779,3,94864,4.0,0
1098,4,110102,3.5,0
5121,36,207,3.0,0
8343,63,104211,4.0,0
4330,25,457,5.0,0
417,3,5218,4.0,0
2100,12,2542,4.0,0
7881,61,1021,3.0,0
5194,36,1220,4.0,0
8899,70,1262,4.5,0
355,3,3977,2.5,0
9348,72,1282,3.0,0
6081,43,3105,3.5,0
2833,13,77866,2.0,0
7370,58,25859,4.0,0
3968,23,913,5.0,0
5647,41,145,3.0,0
8943,70,2858,4.0,0
4999,33,318,5.0,0
44,1,7234,4.5,0
8825,69,55765,3.5,0
54,1,7940,4.5,0
189,2,4019,3.5,0
9672,72,2764,4.0,0
5732,41,1792,3.0,0
8449,66,333,4.0,0
846,3,113345,4.0,0
